movie_name,movie_url,ranking,score,score_num
被解救的姜戈,https://movie.douban.com/subject/6307447/,183,8.5,265262
牯岭街少年杀人事件,https://movie.douban.com/subject/1292329/,184,8.7,109504
谍影重重2,https://movie.douban.com/subject/1308767/,185,8.5,163064
谍影重重,https://movie.douban.com/subject/1304102/,186,8.5,196302
碧海蓝天,https://movie.douban.com/subject/1300960/,187,8.7,109332
魔女宅急便,https://movie.douban.com/subject/1307811/,188,8.5,199530
惊魂记,https://movie.douban.com/subject/1293181/,189,8.9,84970
忠犬八公物语,https://movie.douban.com/subject/1959195/,190,9.0,61247
秒速5厘米,https://movie.douban.com/subject/2043546/,191,8.3,304971
再次出发之纽约遇见你,https://movie.douban.com/subject/6874403/,192,8.5,173903
青蛇,https://movie.douban.com/subject/1303394/,193,8.4,226206
海盗电台,https://movie.douban.com/subject/3007773/,194,8.6,167558
哪吒闹海,https://movie.douban.com/subject/1307315/,195,8.9,82333
东京物语,https://movie.douban.com/subject/1291568/,196,9.2,51588
头脑特工队,https://movie.douban.com/subject/10533913/,197,8.7,232611
绿里奇迹,https://movie.douban.com/subject/1300374/,198,8.7,108575
血战钢锯岭,https://movie.douban.com/subject/26325320/,199,8.7,322154
末路狂花,https://movie.douban.com/subject/1291992/,200,8.7,106508
房间,https://movie.douban.com/subject/25724855/,201,8.8,157748
勇闯夺命岛,https://movie.douban.com/subject/1292728/,202,8.5,144309
终结者2：审判日,https://movie.douban.com/subject/1291844/,203,8.6,143641
源代码,https://movie.douban.com/subject/3075287/,204,8.3,415734
这个男人来自地球,https://movie.douban.com/subject/2300586/,205,8.5,184794
新龙门客栈,https://movie.douban.com/subject/1292287/,206,8.5,187411
卡萨布兰卡,https://movie.douban.com/subject/1296753/,207,8.6,126879
黑客帝国3：矩阵革命,https://movie.douban.com/subject/1302467/,208,8.5,158906
模仿游戏,https://movie.douban.com/subject/10463953/,209,8.5,260345
荒野生存,https://movie.douban.com/subject/1905462/,210,8.6,129698
迁徙的鸟,https://movie.douban.com/subject/1292281/,211,9.1,52373
变脸,https://movie.douban.com/subject/1292659/,212,8.4,217881
城市之光,https://movie.douban.com/subject/1293908/,213,9.2,44966
E.T. 外星人,https://movie.douban.com/subject/1294638/,214,8.5,155519
美国丽人,https://movie.douban.com/subject/1292062/,215,8.4,188407
发条橙,https://movie.douban.com/subject/1292233/,216,8.4,188633
黄金三镖客,https://movie.douban.com/subject/1401118/,217,9.1,52159
无耻混蛋,https://movie.douban.com/subject/1438652/,218,8.4,226721
初恋这件小事,https://movie.douban.com/subject/4739952/,219,8.3,469217
英国病人,https://movie.douban.com/subject/1291853/,220,8.4,176098
燕尾蝶,https://movie.douban.com/subject/1307793/,221,8.6,108956
一个叫欧维的男人决定去死,https://movie.douban.com/subject/26628357/,222,8.7,119034
爱在午夜降临前,https://movie.douban.com/subject/10808442/,223,8.8,118245
叫我第一名,https://movie.douban.com/subject/4798888/,224,8.6,110281
非常嫌疑犯,https://movie.douban.com/subject/1292214/,225,8.6,118138
穆赫兰道,https://movie.douban.com/subject/1292217/,226,8.3,238256
勇士,https://movie.douban.com/subject/3217169/,227,8.9,88683
你的名字。,https://movie.douban.com/subject/26683290/,228,8.4,473693
无敌破坏王,https://movie.douban.com/subject/6534248/,229,8.6,186886
上帝也疯狂,https://movie.douban.com/subject/1297478/,230,8.6,97315
疯狂的石头,https://movie.douban.com/subject/1862151/,231,8.2,319402
国王的演讲,https://movie.douban.com/subject/4023638/,232,8.3,344645
无人知晓,https://movie.douban.com/subject/1292337/,233,9.0,55946
血钻,https://movie.douban.com/subject/1428175/,234,8.5,133750
步履不停,https://movie.douban.com/subject/2222996/,235,8.8,72922
蓝色大门,https://movie.douban.com/subject/1308575/,236,8.3,275123
枪火,https://movie.douban.com/subject/1300741/,237,8.6,100940
大卫·戈尔的一生,https://movie.douban.com/subject/1305725/,238,8.6,94176
